Year	Afghanistan	Albania	Algeria	Angola	Antigua and Barbuda	Argentina	Armenia	Azerbaijan	Bahamas	Bahrain	Bangladesh	Barbados	Belarus	Belize	Benin	Bhutan	Bolivia (Plurinational State of)	Bosnia and Herzegovina	Botswana	Brazil	Brunei Darussalam	Bulgaria	Burkina Faso	Burundi	Cabo Verde	Cambodia	Cameroon	Central African Republic	Chad	Chile	China	Colombia	Comoros	Congo	Costa Rica	Cuba	Cyprus	Czechia	Democratic Republic of the Congo	Djibouti	Dominica	Dominican Republic	Ecuador	Egypt	El Salvador	Equatorial Guinea	Eritrea	Estonia	Eswatini	Ethiopia	Fiji	Gabon	Gambia	Georgia	Ghana	Grenada	Guatemala	Guinea	Guinea-Bissau	Guyana	Haiti	Honduras	Hungary	India	Indonesia	Iran (Islamic Republic of)	Iraq	Israel	Jamaica	Jordan	Kazakhstan	Kenya	Kiribati	Kuwait	Kyrgyzstan	Lao People's Democratic Republic	Latvia	Lebanon	Lesotho	Liberia	Libya	Lithuania	Madagascar	Malawi	Malaysia	Maldives	Mali	Malta	Marshall Islands	Mauritania	Mauritius	Mexico	Mongolia	Montenegro	Morocco	Mozambique	Myanmar	Namibia	Nauru	Nepal	Nicaragua	Niger	Nigeria	Oman	Pakistan	Palau	Panama	Papua New Guinea	Paraguay	Peru	Philippines	Poland	Qatar	Republic of Korea	Republic of Moldova	Romania	Russian Federation	Rwanda	Saint Kitts and Nevis	Saint Lucia	Saint Vincent and the Grenadines	Samoa	Sao Tome and Principe	Saudi Arabia	Senegal	Serbia	Seychelles	Sierra Leone	Singapore	Slovakia	Slovenia	Solomon Islands	Somalia	South Africa	South Sudan	Sri Lanka	State of Palestine	Sudan	Suriname	Syrian Arab Republic	Tajikistan	Thailand	Timor-Leste	Togo	Tonga	Trinidad and Tobago	Tunisia	Turkey	Turkmenistan	Tuvalu	Uganda	Ukraine	United Arab Emirates	United Republic of Tanzania	Uruguay	Uzbekistan	Vanuatu	Venezuela (Bolivarian Republic of)	Viet Nam	Yemen	Zambia	Zimbabwe
1970	2.47099119		8.44867381							4.46833824		9.7113792			5.06122564		6.64138584		22.62176693	1.43881094	0.07720219		3.90961687	5.07894353			9.09083387	7.93967619		5.7926221		6.20249529		11.59851529	6.5335276	0.20889443						7.80714921	3.14694682	4.95279424	3.83603239				13.91301122		13.37019108		2.82081968		6.76550236		2.58102667	2.46714129		24.0874974	1.43491445	5.13131589		1.48536587	4.04518796		0.81266569	22.44694434	5.59809814	46.52257247		5.07459509	42.62641404	0.47014953				8.6966512	9.45642516	9.20234474	2.01544213			7.81711241	2.43980757	2.07454528	3.71320292	61.02050072		6.54879438	7.27205875	0.58123768			5.34591879	0.00886648				1.93132241	9.30387924		1.92096974	0.09670619	7.23796116		10.37987611	53.0553361	5.35002013	3.2526512	1.28394946			8.53126947				5.78599119				6.42700471			9.98471367		76.76003859	2.41539738	13.82532492			51.29805459				3.93569105		0.75765717		3.43907548		2.00599026		8.01220728	16.00588096	5.69097189	22.28561299	5.04067298			3.49791407		22.5574809	3.76565699	4.59819371		37.83353268	0.43083795	10.04059407	2.72226205	3.168175	0.11154569
1971	3.8726149		8.13528373							21.33347772	0.23439061	19.03429159			9.73602195		6.98859311		27.30718592	1.23170284	0.36853589		5.03024628	6.14164315			7.20365547	8.44871316		2.75377464		4.73096159		12.57054924	7.46806287	0.27965445						5.273165	3.47983588	3.92813717	2.76918659				4.63985896	1.60622796	20.01422128		7.38329988		6.33438488		2.06557341	2.26139558		23.02139365	1.24653809	4.19566666		1.76519893	4.95842616		1.59518673	24.9033113	9.42613026	35.54623391		5.70731119	48.86588741	0.63858638				2.57853932	15.74168782	8.874257	1.51247088			6.52710705	3.81380794	7.12471626	4.93669976	50.06805045		12.36397273	11.00531897	0.31690187			8.10476133	0.01299734				1.85248536	6.04913877		1.86938274	2.72374783	7.13222942		12.47526539	50.73131478	6.36071827	2.77457261	1.93543074			9.8783211				6.49114465				7.28988249			12.13438482		144.09650689	3.71954815	14.64737815			42.54858285				4.32073518		0.83792533		3.29941645		1.65159598		8.81195545	8.30487038	4.17471879	20.56105827	5.69951175			3.28375446		20.21891255	4.44827834	3.28214023		54.53801971	0.67853162	10.43475539	5.06329764	4.95227603	0.11867858
1972	4.67975247		7.21575695							12.39357417	3.35846339	19.45984361		31.53705981	6.5843884		10.19137253		47.08467724	0.94562967	0.14083019		5.89166945	7.21638372			9.15369805	13.73283643		3.77189494		4.56289041		16.42363039	8.05485109	0.39555265						5.16037992	2.98007098	3.87616768	4.10879923				19.0574547	1.56996501	15.58461662		9.91015896		6.34477633		3.19444341	1.11640854		17.2588369	1.44914538	5.66600347		1.05646789	4.08999313		2.14252126	28.4901435	8.75928743	58.0119256		5.91631702	79.77262033	0.69255489				6.2121642	12.84929389	8.75511241	3.04620398			7.29446197	4.42235754	5.18861412	6.15050391	46.93590304		10.9656061	12.38863767	0.38763983			6.07598163	0.0137621		0.02301618		2.29751837	4.30686635	9.06836437	1.41479331	12.69988428	4.96448634		7.96120418	66.46704396	5.70625701	2.60653351	4.29708324			10.90623469				7.54660578				15.81859482			10.65691259		158.18020692	3.57284714	13.85725503			72.79049794				4.27541914		5.79883081		8.02188412		1.37357739		9.61034517	13.5531173	3.04709261	21.42181481	6.35494295			4.11193008		14.14033933	4.23887986	7.88244935		67.83991374	0.69352051	12.61732692	7.99615284	4.81844633	0.1462835
1973	4.60155021		7.96252973		0.15711166				2.64435122	59.45049941	6.23130284	19.08867953		36.11923273	8.50440348		5.03351922		52.28248442	0.63661567	0.80799373		9.59448085	7.45051499			8.6319753	13.51030445		3.87499212		5.6122797		18.37595803	8.15047451	0.56543284					1.25454779	4.00863144	4.45362232	24.0380187	3.10775764				22.20753486	2.13553834	26.29285166		12.69145585		4.30818744	0.53384013	3.0092418	2.57495548		11.08357364	1.58784212	4.70195469		1.30926214	4.80927113		1.2145134	60.03643147	7.84452104	105.40724306		7.53682375	111.46793738	0.43063515				4.68584497	12.63051026	6.79493171	5.06427241		7.35022962	5.81344223	3.81362716	4.54189494	11.28642022	85.69175212		24.62213565	15.85815535	0.23453461			5.52305866	0.01137697	2.41088969			2.51629974	10.52033606	14.45283886	1.27057284	27.93112749	4.47468578		13.55546298	65.22813144	5.50872395	5.47624786	5.67386852			8.25669757				9.45351055		0.83868386	1.28261308	20.08625677			16.82999654		141.14363036	4.83292925	11.52260497			64.86118766				4.17596305		3.2757627		60.49850363		1.51371103		11.20978877	15.40973842	2.28104514	24.77937102	2.21283279			2.17445678		1.92587897	6.72045231	5.59155687		79.36084713	0.67770972	10.24171495	9.78339749	9.72172821	0.14461378
1974	3.94023664		7.94661334		47.53755467	0.62641618			2.80921629	149.6181091	7.73018385	14.67444363		47.37062404	10.37518505	1.80745565	11.03776674		51.00034946	1.23975473	0.96731136		15.94690101	10.24290031			8.53975081	19.00866138		1.45558415		3.69736413		25.34759087	7.80514727	1.6339548			8.08226236		49.85100292	3.27869713	4.13624555	36.49795173	2.36192066				29.54118271	3.66902189	26.26375598		19.4744378		3.72547283	19.8519157	3.5366145	4.47781762		16.45329831	2.57409108	6.37412172		2.02101639	5.10060259		0.37393713	36.74075422	10.61895675	155.11011833		8.91465641	103.25026933	0.39510362				54.8728845	18.23755595	9.34274373	4.46608942		8.54232768	7.90628736	5.75683676	4.61764405	18.19781767	66.98067636		75.84431044	28.42810809	0.38056258			6.58984771	0.06964798	2.22939205			2.18333961	11.15962781	26.74379687	1.17725901	201.47229876	7.21843925		9.39345144	85.80986616	8.00347719	4.53217857	3.81399579		3.31979372	7.24650871				10.98880583		68.82617275	38.68185848	35.2218173			28.80020622		146.82593867	3.46995136	9.35600751			64.52063349				5.70066617		17.82670845		105.928989		1.71772159		16.3878771	34.25283157	3.29158966	31.49714331	1.30804365			1.67702593		1.26214812	10.54069224	1.80588822		166.6787137	0.40259174	14.8010115	27.4042112	11.94881606	0.25965157
1975	5.2785198		14.16631558		32.87006658	0.46393352			3.49400474	97.02108731	15.0597349	17.54970455		65.35898696	16.57189375	6.02764077	9.47732201		68.71285287	1.23656678	0.86614904		14.37959599	12.82668286	32.00858355		14.712007	27.95696619		10.67661316		2.9307512	83.79812063	36.3971686	9.6409777	2.0780312			11.2681034		109.17212137	3.94002923	5.55449813	65.2006864	4.06287911				28.93394624	4.05166532	33.57462308		14.88930241		12.43848095	29.73165827	4.67381012	5.42610892		13.54165182	8.15574214	11.93371195		2.57612337	5.11911719		9.44236004	141.79247639	9.98511355	237.99612021		9.19423523	102.69622686	0.3229832				5.55178973	24.53490887	12.5027025	0.58598119		10.88004909	11.67731846	8.07584895	23.82383556	22.20977138	104.38705267		62.51343408	31.85316618	0.36270333			15.17798325	1.99995749	1.78562719			2.9745832	9.68698482	26.4747527	1.28411693	158.87071179	10.94139777		12.7439485	96.96988576	5.9113597	4.18807562	4.27023953		4.68614957	6.99517779				20.70470282		80.54070748	62.50980002	76.04738742	10.10416886		28.27471677		125.53705725	5.47551335	5.18205568			115.30446708				10.28197331		24.19523136		109.80775951		1.99663066		17.29966747	36.68436736	4.33262717	37.87755657	1.48915729			4.82798309		7.38653497	18.46180546	1.72074343		124.97120597	0.28659137	7.9475449	37.05101802	17.43781748	0.64030509
1976	5.42374199		8.50823512		49.87730975	0.53646188			3.05853187	575.02133479	6.8638328	23.38600217		86.05699233	15.16206681	8.95138184	10.72659607		61.53390737	0.84278353	0.65408835		12.7302511	11.61535647	88.33772251		17.62173592	19.37389548		0.96868274		2.75803484	94.97740331	45.90608552	6.26430821	4.77905704	85.38091292		8.19678025		59.59098186	4.60217456	6.31904562	61.71261658	4.04237027				25.73690649	4.21846664	39.41718366		19.45106825		6.03382796	29.73685105	7.58575554	2.28327575		29.21359432	10.52847105	9.18138083		2.7360848	4.80252818	-0.16185463	1.68204043	189.94121927	9.57491387	269.97240564		10.96745009	71.17055933	0.17497555				15.07851865	23.89576391	16.07696473	2.53022284		7.89224639	11.11861847	5.01175438	21.41388552	13.19443416	93.70200073		150.46367421	18.77788365	0.3342467			13.82011435	6.68999526	2.07859983			3.13496154	9.15381764	23.56289473	0.79452475	183.77588318	14.64734353		16.47325077	73.40771645	7.75018285	4.6506732	4.30846642		7.25321784	6.01357189				17.47849467		64.73162088	45.71121348	65.10809832	136.29715845		23.34214945		121.22403668	4.19004092	4.81025499			96.35995615				11.44017771		20.86036828		102.05964387		3.86815476		17.36714106	46.17384549	3.71669601	37.64981911	3.13588891			1.89622819		1.63028308	16.24450181	2.37209424		300.28543431	-1.12361951	4.68753022	68.99596348	12.05009456	0.96423473
1977	6.28032456		7.34520479		86.54805371	0.61474646			2.38457635	158.19559086	10.51432351	18.80038978		69.56711974	14.21895493	7.80778866	13.03877187		59.02324954	0.60093184	0.45788331		17.04502918	12.35975271	95.34088011		22.74844723	22.00582936	19.17634731	0.98143542		1.59947265	43.8197488	29.54178082	7.58970945	4.65782074	142.76033684		10.70554029		67.39920495	2.77947496	4.38668179	65.44028831	5.96526252				51.61079282	3.42761931	38.40888844		36.84406724		8.6739845	37.02102566	6.24342647	4.88238958		15.22774684	12.24071536	9.64857947		1.51562954	3.64187856	1.11168443	6.55750396	229.65810045	11.89913238	202.35289151		10.98170882	108.70522871	0.44210465				52.2113315	29.84875234	19.27719324	2.20544185		7.57424515	13.80039148	5.50494766	25.23768432	16.41770164	95.87052428		126.07546362	24.24297687	0.29441749			32.52884922	7.43118223	2.86729086			5.06895414	7.9350726	17.30418186	0.62511963	371.49571898	8.36084183		13.16244852	76.11192851	10.84575798	5.43290977	4.10365331		4.60730902	6.50246002				20.39787873	46.42271896	39.0469015	40.42657764	112.84575517	34.50545915	0.81508877	23.09946675		174.28741167	7.97349843	5.31752235			79.13029205				12.26749343		23.43065973		128.19309732		2.9507338		25.37667944	71.79339478	2.02076568	41.7367829	2.26256072			1.4707152		47.40619138	20.03345555	4.83731287		136.99791152	-0.59866614	5.81878151	62.24828009	20.4234703	0.9965998
1978	5.58420574		10.51194327		58.02894846	0.61934056			3.87131342	259.56199403	12.70668723	35.49160717		131.10271138	17.12291356	8.13932831	21.5006846		82.6098772	0.77553076	0.55187334		24.02148656	18.71488046	126.94528019		22.11774456	24.40529203	28.39329276	0.33906971		2.23714697	46.89004417	47.849972	15.73550201	4.93518969	70.71635865		12.64766469		95.71890325	3.64828032	4.11217782	65.36359411	7.60615309				79.03060779	4.09845479	43.19122735		57.29708034		10.59274724	29.06715652	4.6265392	12.61065944		33.86450035	13.72126704	14.49060803		1.69460725	4.4511612	6.75874643	5.74775281	253.2642915	54.01008397	210.97118713		16.15283436	176.86979641	0.76793433				89.69267579	39.05277448	26.75023921	1.73542231		10.99242392	16.65461491	6.06728766	54.44499967	22.99486639	120.89276166		165.23425312	46.68283055	0.2691687			22.50079187	9.42650665	6.59658117			4.89766491	9.35714746	27.46143108	0.57959999	58.69497968	8.62969508		11.0431444	85.89604691	9.91278306	7.95638777	5.52003473		0.72936801	4.43904553				25.81410806	46.90753386	32.43063723	44.99027295	101.30791359	43.81040463	0.71124209	40.04383151		256.3821588	12.12956803	2.83163803			121.22676084				20.49926565		27.97320445		110.34711712		5.63229773		39.54907279	95.1432029	3.03732113	51.2362879	4.17721388			3.37160015		2.02274578	24.20156594	1.80824022		171.66833356	-1.04909761	8.02651743	53.5353484	33.64690763	1.33051207
1979	7.39762547		5.94386418		52.94763304	1.02908351			4.32057704	394.65698558	14.47431896	25.46280678		146.63627771	23.3824945	12.55086145	22.62370162		114.91516168	0.74449597	0.47975438		29.4019961	23.28670225	116.11237856		33.09043355	38.93911494	19.16005471	-2.65573754	0.01708696	1.50153933	65.82596772	52.20442914	13.01118457	4.89232309	43.98464706		16.1847916		120.73105911	8.11029865	7.46781198	37.2028772	8.23962575		2.4585315		85.28706076	5.52601119	49.40603214		55.62851853		15.56826011	32.05308978	5.82313011	11.61737709		37.98999529	13.5756275	19.74956477		1.99589931	4.9749377	0.15683265	2.17963394	326.5104231	53.634123	634.48390748		22.04994593	154.95391438	0.90272411				47.65891355	49.67489777	44.7986359	1.10762214		16.18597691	23.2771537	9.25629067	40.97184301	26.95787421	157.39083438		113.73677003	33.63493594	1.01612268			27.53402684	12.6880218	10.21910746			8.65030914	26.1240758	29.65063172	0.36070051	223.32574047	9.29552038		10.27804061	80.93803408	7.88976049	11.13572319	5.7827887		0.82857311	3.56852442				29.56729572	40.73460326	18.33867234	57.20077281	168.67002961	31.56498157	1.17422675	55.8625008		385.93849496	15.97099814	2.32656745			109.1809852				20.93940221		49.57613346		238.22780185		8.36994305		41.42365429	245.79770789	3.11609846	33.78815817	13.56978647			3.91512304		7.54492634	32.60641265	2.3966712		340.49207587	0.70948534	7.1495825	47.04878328	48.92201163	1.74440826
