Year,Afghanistan,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Armenia,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belize,Benin,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa Rica,Cuba,Cyprus,Czechia,Democratic Republic of the Congo,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Gabon,Gambia,Georgia,Ghana,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,India,Indonesia,Iran (Islamic Republic of),Iraq,Israel,Jamaica,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Nicaragua,Niger,Nigeria,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Sri Lanka,State of Palestine,Sudan,Suriname,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Republic of Tanzania,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Zambia,Zimbabwe
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,2.48533326976205E-07,,,,,,,,,,,,-0.004627366875056,,,,-1.33803191396508E-05,-0.0001150345109,-0.001526858766912,,-0.002607574837084,,,,-0.000948738684343,,,,,0.000168046888347,,,-7.30194286049516E-07,,,,,,,-0.000881204323556,-6.48658060747584E-05,-2.90377773138149E-05,-0.000138522388903,,,,-2.16258308514379E-06,,-2.29785024105167E-05,,,,-3.96308230848005E-05,,,-0.001518214202728,,-5.10175021576536E-06,,,,-3.89458240431252E-05,-9.64437846332443E-05,,-0.000977178800293,-3.8876166190438E-07,,-8.85648961216196E-07,,-6.55299444612565E-05,,,,,,,-1.20759234885367E-06,,,,,,-5.61731214083074E-05,,,-2.55099648787662E-07,,-0.003872616924714,-0.000124595292572,-0.000557865052731,,,,,,,,-0.000114098086396,-1.64291767960743E-05,,,,-1.82201002481661E-05,,-3.19641896475159E-06,-0.023792551151616,,0.000160463718735,-3.82493119300706E-05,,,-8.79779278937712E-06,,,,,,,,,,,-0.00037593057618,,9.11659161964101E-08,,0.000449395598778,,,,,,,-5.62373212821159E-05,,-1.62566293550088E-05,,-4.0241453195697E-05,,-4.81234664165164E-05,,-0.000995863667112,,,,-3.1253762666117E-05,,,-3.36416445571923E-05,,,-3.99757370562905E-05,-3.00787681524718E-07,,-3.46213389977366E-05,-0.000433960017464,,,-0.000185548542272,
1962,,,6.57539065057926E-07,,,,,,,-4.04779483676672E-05,,,,,-7.31595479449711E-05,,,,-9.41148679164964E-06,-1.52528556524418E-05,-3.06090906913828E-05,,-0.00038326374147,,,,-3.87468801709831E-05,,,,,-2.27385310892503E-05,,,-1.67359340698251E-05,,,,,,,-0.001298928679051,-3.60511198207337E-05,-4.52703646000156E-05,-2.37092786841931E-05,,,,-1.84158315828359E-06,,-2.4229002125221E-05,,-5.3607345950854E-05,,-3.27887866039132E-05,,,-9.28311222037336E-05,,-3.75049652144966E-06,-2.06252236248607E-05,-3.7875276124501E-05,,-4.58084138419625E-05,-7.51268594095634E-05,,-0.001818048900876,-3.38229074591352E-07,-5.93991389284823E-06,-7.16241985414134E-07,,-2.04798357818465E-05,,,,,,-4.5807470065044E-06,1.40912595828984E-06,4.59132222354993E-08,,,,,-3.79313872886077E-05,,,-2.25271023230141E-07,,-0.000165997236373,-1.33192570959898E-05,-4.79967891606404E-05,,,-1.61939246498261E-05,,,,,-0.000100270849947,-1.65206171479118E-05,,,,-1.86546493955974E-05,,-4.45920348040119E-06,,-2.67566771597178E-06,0.000100197608631,-9.05749605864545E-05,,,-9.70965477712875E-06,,,,,,,,-0.000283867587505,,,5.60197628936083E-05,,-1.03644859981178E-06,,-0.008976845719229,,,,,,,-4.11128634451187E-05,,-2.98244100823536E-05,,-4.14681286855338E-05,,-7.15609130118183E-05,,-3.00585123046128E-05,,-0.000229608118182,,-2.40328081497507E-05,,,-3.24256027572335E-05,,,-1.09380859741954E-05,-3.41332331842449E-06,,-2.20282713387275E-05,-3.72024291986189E-05,,,-0.000187495242639,
1963,,,7.60375024174085E-07,,,,,,,-2.70303598073191E-05,,,,,-3.20971511685914E-05,,,,-9.18209109200123E-06,-2.47282537294486E-05,-1.94597049629979E-05,,-0.000115274443817,,,,-2.64109304026335E-05,,,,,-2.49502877466687E-05,,,-1.89482113072368E-05,,,,,,,-1.06395631401432E-05,-3.04008486559899E-05,-2.81690695474518E-05,-3.49677580662067E-05,,,,-2.45366347419729E-06,,-2.10953420789825E-06,,-3.01197462519385E-05,,-1.16479437736108E-05,,-5.20769664820798E-05,-2.49433084636357E-05,,-3.69164061176169E-06,-5.30165193774463E-05,-4.65260684634085E-05,,-4.2297079811549E-05,-5.76414174870969E-05,,-0.000485376604087,-2.93553586177479E-07,-5.01619429096283E-06,-8.59909329392015E-07,,-2.31666426849666E-05,,,,,,-6.43718211482356E-06,1.73826405053746E-06,-3.03464978690893E-07,,,,,-3.16939661225682E-05,,,-2.49563841803067E-07,,-7.52065812034153E-05,-1.4311285733105E-05,-9.89781263537028E-05,,,-2.39101955571715E-05,,,,,-0.000133391938997,-2.22898431236792E-05,,,,-1.1863412822259E-05,,-4.03789789612645E-06,-0.0447763936776,-8.3611456589443E-06,-0.000243698189282,-5.13969095650257E-05,,,-1.00319711929734E-05,,,,-1.42295566512906E-05,,,,-8.25683073302764E-05,,,4.20976442672613E-06,,-2.23691101697205E-06,,-7.00680361655554E-05,,,,,,,-2.95369541090865E-05,,-3.93174902297796E-05,,-2.49548584157339E-05,,-5.75325328206368E-05,,-2.11830629584732E-05,,-3.15477670289026E-05,,-2.0005531824672E-05,,,-2.36162538134507E-05,,,-1.19095239717724E-05,-2.05531218107462E-06,,-1.48549345778612E-05,-3.7578422769748E-06,,,-2.70444989642517E-05,
1964,,,6.03013918669208E-07,,,,,,,-5.3275593056303E-05,,,,,-3.12127585723214E-05,,,,-9.29370355554061E-06,-2.39397055910401E-05,-0.000297340278928,,-0.00010716281528,,,,-3.49438600475837E-05,,,,,-1.73993753051477E-05,,-1.4060257578523E-05,-2.11288781834114E-05,-3.54259295382745E-05,,,,,,-5.63592515767586E-06,-2.40070284577998E-05,-2.38859149811743E-05,-1.84693389631709E-05,,,,-3.42800679781178E-06,,-4.93130746319407E-06,,-1.59414897297774E-05,,-1.45921410838255E-07,,-4.86195297317213E-05,-1.15346759461805E-05,,-4.41879944442339E-06,-0.000104479698215,-3.65030680958952E-05,,-2.85157536042545E-05,-8.9981196460167E-05,,-0.000176904224686,-2.17905992475214E-07,-1.77279400883722E-05,-1.07651493034676E-06,,-1.86857861309306E-05,,,,,,-6.31899413707756E-06,1.70770980389283E-06,-1.10614330522612E-06,,,,,-5.1389582777494E-05,,,-6.80689011359373E-08,,-0.00010809524889,-6.49370645565585E-06,-0.001149971172809,,,-2.23090675572317E-05,,,,,-7.8266283419257E-05,-2.22491749493602E-05,,,,-8.85509975838136E-06,,-2.43249308814283E-06,,-2.55945794673633E-06,-0.000198888179871,-6.60446918709276E-05,,,-9.61644573716053E-06,,,,-1.83644755219471E-05,,,,-4.24339270738011E-05,,,3.82421377310145E-06,,-3.26647472996647E-06,,-9.37978305802805E-05,,,,,,,-3.47390308146301E-05,,-2.47518733095173E-05,,-0.000213331214946,,-6.02966776357404E-05,,-2.00154132668651E-05,,-1.60426752008248E-06,,-2.05792494675704E-05,,,-3.41429834253183E-05,,,-1.88288545019655E-05,-6.95842419598268E-07,,-1.35595360918308E-05,-6.47411618667803E-06,,,-2.77801488265263E-05,-3.60155401514902E-05
1965,,,4.14648653784867E-07,,,,,,,-5.84642500066415E-05,,,,,-8.07272067061011E-06,,,,-4.79123748149616E-06,-1.87885015829881E-05,-0.00015229020829,,-2.56533820896806E-05,,,,-1.47255670729181E-05,,,-5.81503396123449E-06,,-2.96953404284394E-05,,-4.76311143671665E-06,-8.46968066598297E-06,-1.9837383052428E-05,,,,,,-1.2546649252154E-05,-1.92198927825962E-05,-1.90845967106218E-05,-1.79807957236142E-05,,,,-1.91322880014934E-06,,-5.7417399952502E-06,,-3.45477769377545E-05,,3.34917074309135E-06,,-4.26370414128954E-05,-1.82145521103197E-05,,-4.86239090906763E-06,-8.47819433004869E-05,-2.55169068891708E-05,,-2.22954725469124E-05,-0.000154958507387,,-6.08786556973764E-05,-1.99054956484514E-07,-1.50963709224287E-05,-1.51243110506416E-06,,-1.50724582736117E-05,,3.44755945113235E-05,,,,-1.61022781399672E-05,1.03628676423697E-06,-3.65294128901687E-06,-3.01292934682565E-05,,,,-3.42197682500264E-05,,,-1.07248561693673E-07,,-1.48738697390621E-05,-3.03927279511503E-06,0.000148033467494,,,-2.23105807364612E-05,,,,,-6.74094211424694E-05,-2.07826153932503E-05,,,,-7.91307341907351E-06,,-4.17878496270314E-06,-0.047246499220989,-2.52551099792571E-06,-9.28390367053155E-05,-1.88889561824442E-05,,,-1.53396296280273E-05,,,,-1.3972559623626E-05,,,,-3.75383004024957E-05,,,-3.19642127029683E-07,,-1.10939227928284E-06,-2.70941485471096E-05,-0.000114310794172,,,,,,,-4.65278284249183E-05,,-1.7546098135687E-05,,-0.000120747497045,,-7.01782289468051E-05,,-1.25467602530085E-05,,-1.39782302322068E-06,,-2.84062397866967E-05,,,-2.69156271798479E-05,,,-1.48340787262002E-05,-1.75700133657601E-06,,-1.02770851149754E-05,4.91677012530524E-06,,,-5.72857014341446E-06,-8.65800464501522E-05
1966,,,-1.63934770533325E-07,,,,,,,-3.84469892162958E-05,,,,,-8.65823029671212E-06,,-1.53173131929019E-05,,-4.00859265240702E-06,-1.93086772662441E-05,-9.43907838348916E-05,,-1.6465507753215E-05,,,,-1.72097226669826E-05,-1.56780003410506E-05,,-6.17301095241998E-06,,-3.25903903674794E-05,,-5.77475800456338E-06,5.09453220537177E-07,-4.76118147003055E-05,,,,,,-3.99252680000779E-06,-1.59374879083898E-05,-3.13626735065045E-05,-1.62690968811416E-05,,,,-1.754892396779E-06,,-4.06284226060788E-06,,-2.0729185086636E-05,,3.00234893868016E-06,,-3.64282643813342E-05,-1.10901700464781E-05,,-2.75200812405482E-06,-6.15234981081574E-05,-2.36852020104687E-05,,-2.16097633532695E-05,-0.000250211602816,,-6.59828236513756E-05,-1.18403323798642E-07,-5.92443282885443E-06,-2.05597552776704E-06,,-1.02938448365048E-05,,2.32881417998912E-05,,,,-4.92261284985207E-06,-4.11102076109027E-07,-1.98878116274893E-06,-6.83437029469752E-05,,,,-2.37992142118822E-05,,,-6.25383266427066E-08,,-1.99863487079057E-05,1.50278234699704E-05,-6.54421325914394E-05,,,-2.23082931065609E-05,,,,,-7.11030000476663E-05,-2.05071392504968E-05,,,,-7.31219948387324E-06,,-1.42777834468243E-06,-2.84759101770086E-06,-2.53942689409469E-06,-3.28795809285434E-05,-1.43042364846492E-05,,,-1.21864836403514E-05,,,,-9.8531376760511E-06,,,,-3.29182927151487E-05,,,-2.58623045104379E-06,,-1.90106151664944E-06,-1.61130610213518E-05,-2.23197741858206E-05,,,-3.41228899131E-06,,,,-3.18312134411584E-05,,-1.15127954357967E-05,,-0.000179696104901,,-4.64990650984708E-05,,-1.766054347484E-05,,-1.05658772670515E-06,,-2.36144356992996E-05,,,-3.23927680400639E-05,,-0.001087273009,-1.93512362658516E-05,-1.24846880689906E-06,,-1.27920231289612E-05,-1.83335922750032E-05,,,-9.55083246962673E-06,-9.63707123852147E-05
1967,,,-3.21142421375549E-06,,,,,,,-3.19635081663479E-06,,-3.20779130070844E-06,,,-1.08562721909445E-05,,-1.81807934661477E-05,,-2.27983094526688E-06,-1.43423872962136E-05,-9.25506452296558E-05,,-2.18952638944844E-05,,,,-1.44164923446419E-05,-1.59043640452115E-05,,-4.46337549549565E-06,,-1.64627621240779E-05,,-3.58909643306274E-06,2.21839922966435E-06,-6.61467789242356E-05,,,,,,-6.11935892702789E-06,-1.22204178861037E-05,-3.27249493163232E-05,-1.14031160598749E-05,,,,-2.61932681741592E-06,,-3.62109593089637E-06,,-2.56913547141265E-05,,2.34960756407529E-06,,-4.81457758770736E-05,-1.84150702781557E-05,,-1.73219223376425E-06,-9.58967676335466E-05,-2.89652522623678E-05,,-2.30775771617184E-05,-0.000130376664104,,-0.000168390948237,-1.02486825879332E-07,-6.06109185811894E-06,-2.03550414255534E-06,,-1.31068239935952E-05,,2.09049604800878E-05,,,,-4.88732102480057E-06,-1.1565940390124E-06,-2.33758049489717E-06,-0.000264069087565,,,,-1.51251101672533E-05,,,-1.71154696592711E-07,,-8.51785581172684E-06,6.05106066308492E-06,-8.48939460964538E-05,,,-2.51498958611813E-05,,,,,-8.53537784253199E-05,-1.47718887914481E-05,,,,-8.89866397238855E-06,,-2.37093996468188E-06,-2.62692073382706E-06,-2.61335050463438E-06,-4.13053770333416E-05,-2.88261579673457E-05,,,-1.1710797820278E-05,,,,-4.0300747212668E-06,,,,-1.9625690541651E-05,,,-3.77122929928222E-06,,-2.02169512433906E-06,-3.14578347833467E-05,-2.05264736330737E-05,,,-2.67757739199966E-06,,,,-1.65530025255517E-05,,-7.26511485972636E-06,,-2.95890343142835E-05,,-5.44610417475045E-05,,-2.32202104651972E-05,,-1.95028775687469E-06,,-2.06522407358507E-05,,,-2.67703021377111E-05,,-1.54084394770963E-05,-2.37585364073203E-05,-9.73703316960582E-07,,-3.31935549647577E-06,-9.35791762425566E-06,,,-3.58608844911196E-06,-0.000819949342064
1968,,,-7.00132748104249E-06,,,,,,,-0.000613824629354,,-8.67623330961763E-06,,,-1.01863741309929E-05,,-1.85120247991119E-05,,-2.30600352089919E-06,-2.66441490148001E-05,-7.6125942283428E-05,,-1.66009577194902E-05,,,,-2.12042483830677E-05,-1.23991292941082E-05,,-4.51774720675522E-06,,-1.53563254448693E-05,,-4.74974654195829E-06,-8.45472830627834E-06,-9.11535176041907E-05,,,,,,-5.62138484236428E-06,-1.11404600978961E-05,-8.42697540591842E-05,-1.6578146215196E-05,,,,-2.72822092678679E-06,,-5.03664017786495E-06,,-2.96750327094702E-05,,2.54509323267432E-06,,-3.24508263902753E-05,-3.08830216511952E-05,,-1.23917770389872E-06,-0.000103542381496,-3.15936322862991E-05,,-2.22939529499469E-05,-4.98564143937728E-05,,-0.000173333892107,-9.85823051036771E-08,-6.15273440348945E-06,-2.93377964299444E-06,,-1.99947822637451E-05,,2.05574586379844E-05,,,,-4.54488906504553E-06,-1.86520120370911E-06,-3.91671312310925E-06,-0.000256647898946,,,,-1.78920190296278E-05,,,-1.21421457089927E-07,,-1.421169206539E-05,-1.07262550331967E-05,-8.67946773874564E-05,,,-3.99775909148914E-05,,,,,-8.67640259149773E-05,-1.66589855536071E-05,,,-0.000147529126943,-6.53467315719861E-06,,-2.9632154503501E-06,-2.28787606858487E-06,-2.40176329674794E-06,-3.85416095700692E-05,-1.39443029083145E-05,,,-1.00610026212629E-05,,,,1.79068543462247E-06,,,,-1.25768888123346E-05,,,-4.84474682673782E-06,,-1.26963224461978E-06,-4.36671185002865E-05,-5.86825354137703E-06,,,-2.51595628656255E-06,,,,-9.36159765310367E-06,,-1.76083430488582E-05,,-0.000105071644455,,-4.23455268085642E-05,,-2.02877427678947E-05,,-2.98804768287056E-06,-1.05835741928737E-05,-1.98337018262665E-05,,,-2.46132336608839E-05,,-1.48671347395186E-05,-2.23104754892458E-05,-1.1079503420218E-06,,-3.99828700839383E-06,-1.12085005723178E-05,,-3.84035250357857E-05,-2.76237528148637E-06,-0.000730055362951
1969,-3.19766735441374E-05,,-1.04673014018588E-05,,,,,,,-0.000148522607877,,-4.864835893553E-06,,,-1.35670323561165E-05,,-1.36575697669016E-05,,-2.89843318664776E-06,-2.32808347218615E-05,-0.000237837548937,,-1.4558288414883E-05,,,,-1.84850217052133E-05,-1.43762662735582E-05,,-3.78204828612943E-06,,-1.32666670904365E-05,,-3.99537298729132E-06,-2.21462114184698E-05,-0.000123226132638,,,,,,-7.86166700694442E-06,-1.31175739415586E-05,-9.41163019811365E-05,-2.30508621573194E-05,,,,-3.85384016668509E-06,,-1.75875750340164E-06,,-1.6236090683653E-05,,-3.05042479419617E-07,,-2.97699426768648E-05,-3.89002706006242E-05,,-6.23684987868348E-07,-8.32180453049101E-05,-1.70709611405643E-05,,-3.41133444705096E-05,-3.75556498257826E-05,,-0.000318017653296,-1.02345918162987E-07,-3.85525251932992E-06,-3.20930323410925E-06,,-1.27187241871726E-05,-5.08423326990176E-06,-0.003016453787055,,,,-1.76513374553009E-06,-2.76595532147145E-06,-6.90107966754222E-06,-7.40029113487318E-05,,,,-1.4117102508638E-05,,-3.17977077958755E-05,-5.69050883262793E-08,,-7.26800626358434E-06,-1.40712165908209E-05,-0.000114472317174,,,-2.65552753018007E-05,,,,,-0.000109087506693,-1.74588034056634E-05,,,-0.003003796472537,-7.55606172533702E-06,,-4.27288787040383E-06,-2.00464900834192E-06,-3.19317468394879E-06,-4.8783667384292E-05,-1.71023112498755E-05,,,-9.81560904009961E-06,,,,5.72720770982528E-06,,,,-7.68775187824834E-06,,,-7.54224864984479E-06,,-1.14649883591935E-06,-3.09371477087746E-05,-8.14774914314897E-06,,,-2.25681874145843E-06,,,,-6.76969249791696E-06,,-6.82872305214051E-06,,-0.000115931021508,,-4.11968459566413E-05,,-1.35731314656758E-05,-3.02239004401854E-06,-3.58557273664525E-06,-1.30367837292912E-05,-2.14987243099957E-05,,,-1.71451585718873E-05,,-2.58221449008061E-05,-2.24841588666425E-05,-3.88964037783755E-07,,-3.00735316332856E-06,-1.71957345997765E-05,,-0.000161924325842,-8.22963140908789E-06,-0.00010182669849
